title,videoId,url,date,category
פרשת מצורע שיעור מס' 3 - הנתיבות שלום,PvWpvpsIxm4,https://www.youtube.com/watch?v=PvWpvpsIxm4,2024-05-02,שיעורים כלליים
משמר זוהר ליל שישי - פרשת אחרי מות,vM1ovBtOu9E,https://www.youtube.com/watch?v=vM1ovBtOu9E,2024-05-03,שיעורים כלליים
דרש פרשת אחרי מות,k_5bJV6tpfk,https://www.youtube.com/watch?v=k_5bJV6tpfk,2024-05-05,שיעורים כלליים
ספירת העומר - 9 ימים לעומר גבורה שבגבורה,3RIrfJP8hwM,https://www.youtube.com/watch?v=3RIrfJP8hwM,2024-05-05,שיעורים כלליים
ספירת העומר - 8 ימים לעומר חסד שבגבורה,RPWvI6IkRNc,https://www.youtube.com/watch?v=RPWvI6IkRNc,2024-05-05,שיעורים כלליים
ספירת העומר - 5 ימים לעומר הוד שבחסד,UStLcXWWaaI,https://www.youtube.com/watch?v=UStLcXWWaaI,2024-05-05,שיעורים כלליים
ספירת העומר - 4 ימים לעומר נצח שבחסד,QPkBxtheNIk,https://www.youtube.com/watch?v=QPkBxtheNIk,2024-05-05,שיעורים כלליים
ספירת העומר - 12 ימים לעומר - הוד שבגבורה,BqaICt2Krtg,https://www.youtube.com/watch?v=BqaICt2Krtg,2024-05-07,שיעורים כלליים
ספירת העומר -14 ימים לעומר - מלכות שבגבורה,ThGORcmPYXQ,https://www.youtube.com/watch?v=ThGORcmPYXQ,2024-05-08,שיעורים כלליים
ספירת העומר - 13 ימים לעומר - יסוד שבגבורה,mT7EiGY6Grg,https://www.youtube.com/watch?v=mT7EiGY6Grg,2024-05-08,שיעורים כלליים
המאור עיניים - פרשת קדושים שיעור מס' 01,KXXt6pg_D-8,https://www.youtube.com/watch?v=KXXt6pg_D-8,2024-05-08,שיעורים כלליים
המאור עיניים - פרשת קדושים - שיעור מס' 02,a0HH4wqwTjM,https://www.youtube.com/watch?v=a0HH4wqwTjM,2024-05-09,שיעורים כלליים
המאור עיניים - פרשת קדושים - הקדמה לשיעור מס' 02,FDRLSkSFuKs,https://www.youtube.com/watch?v=FDRLSkSFuKs,2024-05-09,שיעורים כלליים
חודש אייר ופסח שני,vkifTUaxzQ8,https://www.youtube.com/watch?v=vkifTUaxzQ8,2024-05-09,שיעורים כלליים
ספירת העומר - 15 ימים לעומר - חסד שבתפארת,v-H-hDXGqB8,https://www.youtube.com/watch?v=v-H-hDXGqB8,2024-05-09,שיעורים כלליים
דרש פרשת קדשים,2S4rxR9J3Kg,https://www.youtube.com/watch?v=2S4rxR9J3Kg,2024-05-12,שיעורים כלליים
ספירת העומר - 19 ימים לעומר - הוד שבתפארת,vN9V16bXa5k,https://www.youtube.com/watch?v=vN9V16bXa5k,2024-05-12,שיעורים כלליים
ספירת העומר - 18 ימים לעומר - נצח שבתפארת,4beSr9y2uCc,https://www.youtube.com/watch?v=4beSr9y2uCc,2024-05-12,שיעורים כלליים
ספירת העומר - 17 ימים לעומר - תפארת שבתפארת,YyWb5uqXboA,https://www.youtube.com/watch?v=YyWb5uqXboA,2024-05-12,שיעורים כלליים
